shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.6208752 41.1496431, -8.6209479 41.1499897, -8.6210997 41.1507093)",25632230,25632226,595164143,False,120.037
"LINESTRING (-8.6231422 41.1506749, -8.6230542 41.1502192)",25632231,25632228,933397358,True,51.204
"LINESTRING (-8.6180312 41.1524873, -8.6179199 41.1522366)",25632278,25632279,59525260,True,29.393
"LINESTRING (-8.6180312 41.1524873, -8.6169171 41.1525907, -8.6157974 41.152686, -8.6157255 41.1526925, -8.6157063 41.1526941, -8.6135935 41.1528719)",25632278,25632292,8367070,False,374.00399999999996
"LINESTRING (-8.6179199 41.1522366, -8.6176398 41.1516719, -8.6176031 41.1515875, -8.6185977 41.1513402, -8.6210997 41.1507093)",25632279,25632226,"[8367058, 59525260]",True,385.52
"LINESTRING (-8.6188807 41.1551988, -8.614016 41.1543025, -8.6133083 41.1541642)",25632284,25632285,8367069,True,480.516
"LINESTRING (-8.6188807 41.1551988, -8.6189002 41.155124, -8.6189758 41.1549974)",25632284,5284385982,8367072,True,23.911
"LINESTRING (-8.6133083 41.1541642, -8.6133246 41.1538652, -8.6133163 41.1538177, -8.6133019 41.1537926, -8.6132822 41.1537694, -8.6132505 41.1537434)",25632285,25632293,734630278,True,48.62899999999999
"LINESTRING (-8.6135935 41.1528719, -8.6157063 41.1526941, -8.6157255 41.1526925, -8.6157974 41.152686, -8.6169171 41.1525907, -8.6180312 41.1524873)",25632292,25632278,8367070,False,374.00399999999996
"LINESTRING (-8.6135935 41.1528719, -8.6134258 41.1536347, -8.6133793 41.1536858, -8.6132505 41.1537434)",25632292,25632293,128825641,True,105.40400000000001
"LINESTRING (-8.6132505 41.1537434, -8.6131768 41.153739, -8.6130858 41.1537499, -8.6126871 41.1537496, -8.6126091 41.1537496, -8.6122168 41.1537426, -8.6121716 41.1537482, -8.6121269 41.1537604, -8.6121117 41.1537666, -8.6120991 41.1537717, -8.6120711 41.153789, -8.6120549 41.1538039, -8.6120253 41.1538357)",25632293,1110698273,8367068,True,106.62299999999999
