osmid,shape
64661163,POINT(-8.6660976 41.1915507)
64661170,POINT(-8.6699774 41.1899038)
64661180,POINT(-8.6750594 41.18911)
64661182,POINT(-8.6757526 41.1879924)
64661184,POINT(-8.6757862 41.1877913)
64661186,POINT(-8.6757433 41.1874234)
64661188,POINT(-8.6760814 41.1870192)
64661190,POINT(-8.6770631 41.1866438)
64661315,POINT(-8.6757687 41.187144)
64661316,POINT(-8.6756279 41.1873061)
64661318,POINT(-8.6755015 41.1876347)
64661319,POINT(-8.6752977 41.1882517)
64661776,POINT(-8.6726774 41.1935787)
64661777,POINT(-8.6729317 41.193881)
64661778,POINT(-8.674615 41.1950792)
64661879,POINT(-8.674313 41.1953434)
64662075,POINT(-8.6733115 41.1950225)
64662077,POINT(-8.674005 41.1955887)
64662143,POINT(-8.6721389 41.1942562)
64662144,POINT(-8.6737973 41.195784)
64662481,POINT(-8.6716856 41.1944882)
64662482,POINT(-8.6734969 41.1961715)
64663101,POINT(-8.679327 41.1926869)
64663108,POINT(-8.6773797 41.1919228)
64663158,POINT(-8.6767405 41.1930293)
64663160,POINT(-8.6775582 41.1921667)
64663666,POINT(-8.6771222 41.1943276)
64663668,POINT(-8.6765436 41.1941068)
64663669,POINT(-8.6764144 41.1940272)
64663675,POINT(-8.6753027 41.1948239)
64663677,POINT(-8.6748426 41.1948763)
64663942,POINT(-8.6777026 41.1962297)
64663948,POINT(-8.6761318 41.1949312)
64664138,POINT(-8.6759801 41.1953485)
64664144,POINT(-8.6775711 41.195761)
64664444,POINT(-8.6758492 41.1955743)
64664445,POINT(-8.6772688 41.1959673)
64664874,POINT(-8.679098 41.1974215)
64664875,POINT(-8.6790845 41.197108)
64664876,POINT(-8.6790845 41.1966107)
64664877,POINT(-8.6789234 41.1964808)
64664880,POINT(-8.6784028 41.1961621)
64664881,POINT(-8.6779908 41.1961685)
64664889,POINT(-8.6740996 41.1955258)
64665929,POINT(-8.6775009 41.1969214)
64665932,POINT(-8.67663 41.1969603)
64665935,POINT(-8.6750372 41.1969145)
64665936,POINT(-8.6746509 41.196704)
64665937,POINT(-8.6740813 41.1963889)
64666404,POINT(-8.6778277 41.1956325)
64666406,POINT(-8.6780242 41.196926)
64666560,POINT(-8.6774456 41.1962776)
64666813,POINT(-8.6751566 41.1959314)
64667442,POINT(-8.6773127 41.1977444)
64667444,POINT(-8.6772949 41.1969393)
64667649,POINT(-8.6767119 41.1977637)
64667830,POINT(-8.6762467 41.1972461)
64668005,POINT(-8.6763043 41.1974574)
64668915,POINT(-8.6631177 41.2034226)
64668918,POINT(-8.6637035 41.2032597)
64669021,POINT(-8.6635393 41.2030993)
64669540,POINT(-8.6636828 41.2028784)
64669640,POINT(-8.6646254 41.2033504)
64669714,POINT(-8.6641001 41.2030443)
64669751,POINT(-8.6651116 41.2036081)
64669973,POINT(-8.6579091 41.2039696)
87006477,POINT(-8.6640022 41.2029033)
87006487,POINT(-8.6639727 41.2032437)
87009269,POINT(-8.6771388 41.2103117)
87009274,POINT(-8.6756389 41.209641)
87009277,POINT(-8.6732137 41.2097849)
87009296,POINT(-8.6670648 41.2050055)
87012208,POINT(-8.6698403 41.1924271)
87020476,POINT(-8.6745037 41.1900299)
87041454,POINT(-8.674503 41.1898374)
87057062,POINT(-8.6746934 41.1903634)
90376961,POINT(-8.6678023 41.2363728)
90378713,POINT(-8.6294021 41.1569695)
90378716,POINT(-8.6279141 41.1578748)
90379359,POINT(-8.6721342 41.1552865)
90379616,POINT(-8.6731032 41.154912)
90379618,POINT(-8.6723674 41.154823)
90379759,POINT(-8.6756822 41.1534242)
90380150,POINT(-8.6773006 41.1549514)
90380817,POINT(-8.6761166 41.1497859)
90381086,POINT(-8.6731276 41.1476677)
90381095,POINT(-8.6742868 41.1481)
96497243,POINT(-8.6563346 41.1778207)
96497255,POINT(-8.6708931 41.1757606)
105748385,POINT(-8.6655455 41.1918961)
105748388,POINT(-8.6645719 41.1923302)
111415443,POINT(-8.6439449 41.1603361)
111415445,POINT(-8.6420585 41.1600204)
111415446,POINT(-8.6358336 41.1589918)
111416206,POINT(-8.658169 41.1607815)
111428003,POINT(-8.6880264 41.1681621)
111428008,POINT(-8.6884635 41.1683804)
111428028,POINT(-8.6885946 41.1673547)
111429621,POINT(-8.68815 41.1671451)
111439225,POINT(-8.6818903 41.1571219)
111445022,POINT(-8.6729308 41.1483484)
111447960,POINT(-8.6541346 41.1484224)
111447963,POINT(-8.6548132 41.1482725)
