shape,start_node,end_node,osmid,oneway,length
"LINESTRING (-8.5148039 41.1277407, -8.5148611 41.1279846)",276930032,1391962814,142182576,True,27.54
"LINESTRING (-8.5148039 41.1277407, -8.514825500000001 41.1277711, -8.5148422 41.1277869, -8.5148957 41.1278039, -8.514953 41.1278059, -8.5149706 41.1278023)",276930032,1556201125,142182649,True,17.275000000000002
"LINESTRING (-8.5175047 41.1359247, -8.5176739 41.1361241, -8.5176766 41.1361299, -8.5177383 41.1362621)",276930043,276930101,25410138,True,42.578
"LINESTRING (-8.5175047 41.1359247, -8.517268 41.1357282, -8.517091799999999 41.1355471, -8.5168929 41.1352944, -8.516685900000001 41.1349509, -8.516204099999999 41.1339531, -8.5161564 41.1338526, -8.516126 41.1337887, -8.5159205 41.13336, -8.515912399999999 41.1333386)",276930043,3299419398,"[325312710, 253609059, 139001213, 139001214]",False,319.709
"LINESTRING (-8.5183922 41.1366427, -8.5184664 41.1365564)",276930093,276930094,25410104,True,11.432
"LINESTRING (-8.518466399999999 41.1365564, -8.518499500000001 41.1364567, -8.5184877 41.1363543, -8.518432499999999 41.1362603, -8.5183397 41.1361849)",276930094,276930097,25410104,True,45.717000000000006
"LINESTRING (-8.518466399999999 41.1365564, -8.518651200000001 41.136455, -8.5190413 41.1363427, -8.519258000000001 41.1362304, -8.519425500000001 41.1361196, -8.5195647 41.1359664, -8.519664499999999 41.1358245, -8.5197223 41.135659, -8.5197386 41.1355894, -8.519758700000001 41.1354717)",276930094,2056845783,"[139001272, 381421937, 25410131]",True,173.402
"LINESTRING (-8.5183397 41.1361849, -8.5182194 41.1361363, -8.518084699999999 41.1361197)",276930097,276930099,25410104,True,22.863999999999997
"LINESTRING (-8.518084699999999 41.1361197, -8.5179502 41.136137, -8.517830399999999 41.1361862, -8.5177383 41.1362621)",276930099,276930101,25410104,True,34.287
"LINESTRING (-8.518084699999999 41.1361197, -8.5178241 41.1360826, -8.5178057 41.1360756, -8.5176964 41.1360338, -8.5175047 41.1359247)",276930099,276930043,25410115,True,54.324999999999996
"LINESTRING (-8.5177383 41.1362621, -8.5176839 41.1363563)",276930101,1550552170,25410104,True,11.422
"LINESTRING (-8.5177821 41.1366442, -8.5178265 41.1366754, -8.517890100000001 41.1367071)",276930103,276930104,25410104,True,11.472
"LINESTRING (-8.517890100000001 41.1367071, -8.518019300000001 41.1367401, -8.518155800000001 41.1367398, -8.518284700000001 41.1367061, -8.518392199999999 41.1366427)",276930104,276930093,25410104,True,45.717
