osmid,shape
1393975114,POINT(-8.5353976 41.1340234)
1393977203,POINT(-8.5366438 41.1357331)
1394001737,POINT(-8.5232395 41.1113007)
1394001742,POINT(-8.5217996 41.1106245)
1394001747,POINT(-8.5192184 41.1109202)
1394001803,POINT(-8.5205198 41.1095426)
1394001830,POINT(-8.5219255 41.1107081)
1394001850,POINT(-8.5104877 41.1132664)
1394056207,POINT(-8.5236989 41.1200645)
1394056223,POINT(-8.5239087 41.1198207)
1394056226,POINT(-8.5236287 41.1197916)
1394056239,POINT(-8.5217765 41.1107429)
1394056256,POINT(-8.5215202 41.112582)
1394057767,POINT(-8.5221758 41.1176275)
1394057776,POINT(-8.5230395 41.1173096)
1394070586,POINT(-8.5376326 41.1310775)
1394070590,POINT(-8.5404019 41.1251413)
1394070595,POINT(-8.538558 41.128762)
1394070607,POINT(-8.54603 41.129589)
1394070608,POINT(-8.5415481 41.1277271)
1394070619,POINT(-8.5416738 41.1279107)
1394070620,POINT(-8.5379337 41.1301297)
1394070621,POINT(-8.5406013 41.125698)
1394070644,POINT(-8.5391206 41.1283848)
1394070646,POINT(-8.5391546 41.1300549)
1394070665,POINT(-8.5428767 41.1281619)
1394070683,POINT(-8.5409082 41.1267176)
1394070685,POINT(-8.544402 41.1297102)
1394070690,POINT(-8.5416121 41.1295056)
1419377279,POINT(-8.5287329 41.1070853)
1419378112,POINT(-8.5105953 41.1142223)
1419378117,POINT(-8.5106062 41.1143924)
1419378129,POINT(-8.5122474 41.1146014)
1419378133,POINT(-8.5124243 41.1147291)
1419378532,POINT(-8.5411972 41.1181208)
1419378572,POINT(-8.5284991 41.1185076)
1419378605,POINT(-8.5314053 41.1195572)
1419378609,POINT(-8.5307437 41.1196105)
1419378657,POINT(-8.5350368 41.1206356)
1419378658,POINT(-8.5436903 41.1207191)
1419378664,POINT(-8.5344337 41.1208153)
1419378678,POINT(-8.5336328 41.1210755)
1419378682,POINT(-8.5337486 41.1211155)
1419378688,POINT(-8.5423891 41.1211381)
1419378690,POINT(-8.5361082 41.1211482)
1419378692,POINT(-8.533746 41.1211674)
1419378694,POINT(-8.5422643 41.1211918)
1419378696,POINT(-8.5336266 41.1212008)
1419378777,POINT(-8.5438736 41.1222601)
1419378806,POINT(-8.5457838 41.1231723)
1419378808,POINT(-8.5471861 41.1232014)
1419378815,POINT(-8.5428474 41.1232909)
1419378834,POINT(-8.5419808 41.1234951)
1419378835,POINT(-8.5420987 41.123503)
1419378839,POINT(-8.5479529 41.123512)
1419378870,POINT(-8.537586 41.1239239)
1419378872,POINT(-8.5370365 41.1239483)
1419378875,POINT(-8.5457111 41.1239818)
1419378882,POINT(-8.5417755 41.124057)
1419378885,POINT(-8.5441262 41.1241184)
1419378892,POINT(-8.5418994 41.1241699)
1419378901,POINT(-8.5413976 41.1242828)
1419378911,POINT(-8.5421534 41.1243639)
1419378913,POINT(-8.5430782 41.1243813)
1419378914,POINT(-8.5415439 41.1243849)
1419378923,POINT(-8.5416192 41.1244374)
1419378930,POINT(-8.5421618 41.1244965)
1419378941,POINT(-8.5456463 41.1247726)
1419379117,POINT(-8.5407835 41.1256326)
1419379165,POINT(-8.5412223 41.1260816)
1419379256,POINT(-8.5427393 41.1267716)
1419379278,POINT(-8.5421801 41.1270848)
1419379361,POINT(-8.5008429 41.127848)
1419379366,POINT(-8.5371081 41.1278682)
1419379399,POINT(-8.538338 41.1281111)
1419379480,POINT(-8.5384233 41.128629)
1419379510,POINT(-8.5380569 41.1287344)
1419379593,POINT(-8.5371946 41.1290115)
1419379714,POINT(-8.5360951 41.1299978)
1419379715,POINT(-8.5358342 41.1300436)
1419379743,POINT(-8.5492349 41.1305757)
1419379750,POINT(-8.5497106 41.1307509)
1419379803,POINT(-8.5445379 41.1318779)
1419379821,POINT(-8.5473795 41.1322473)
1419379825,POINT(-8.533548 41.1322669)
1419379852,POINT(-8.5407256 41.1336132)
1419379853,POINT(-8.540659 41.1336241)
1419379859,POINT(-8.5409053 41.1337964)
1419379860,POINT(-8.5405669 41.133815)
1419379863,POINT(-8.5408459 41.1338602)
1419379866,POINT(-8.5361252 41.1340204)
1523767567,POINT(-8.5061133 41.1223385)
1523767591,POINT(-8.5059572 41.1223683)
1523768131,POINT(-8.5214946 41.1315374)
1523768217,POINT(-8.520974 41.1321227)
1523768231,POINT(-8.5261138 41.1321086)
1548057294,POINT(-8.5499199 41.1402604)
1548057311,POINT(-8.5473162 41.1405228)
1548057336,POINT(-8.5487186 41.1412829)
1548057340,POINT(-8.5490399 41.1413654)
1548057360,POINT(-8.5478235 41.141454)
1548057429,POINT(-8.5485763 41.1417756)
1548057448,POINT(-8.5493914 41.1419665)
1548057449,POINT(-8.5482066 41.1420171)
1548057481,POINT(-8.5484744 41.1423198)
1548058120,POINT(-8.5323921 41.1437357)
1548058486,POINT(-8.5323233 41.1437788)
1548058688,POINT(-8.5325041 41.1437969)
1548058846,POINT(-8.5321779 41.1439212)
1548058867,POINT(-8.5323641 41.1438685)
1548068017,POINT(-8.5315678 41.1477898)
1548068265,POINT(-8.5499654 41.1480208)
1548068557,POINT(-8.5494627 41.1480907)
1548068990,POINT(-8.5499128 41.1482536)
1548068993,POINT(-8.5498702 41.1482084)
1548181339,POINT(-8.5341214 41.1405817)
1548181362,POINT(-8.5383719 41.1406472)
1548181468,POINT(-8.5347795 41.1413045)
1548181876,POINT(-8.5362772 41.1426946)
1548181907,POINT(-8.537794 41.1428944)
1548181930,POINT(-8.5343943 41.1429119)
1548181936,POINT(-8.5379226 41.1430453)
1548187559,POINT(-8.5349739 41.1403616)
1549668762,POINT(-8.5247133 41.1437648)
1549669462,POINT(-8.5290051 41.143923)
1549669558,POINT(-8.5308751 41.1439521)
1549669744,POINT(-8.5168952 41.1442721)
1549669942,POINT(-8.5246965 41.1443308)
1549670104,POINT(-8.5247021 41.1446497)
1549670180,POINT(-8.5244053 41.1446785)
1549670227,POINT(-8.5245985 41.1446938)
1549670706,POINT(-8.5247784 41.1447674)
1549670730,POINT(-8.5246804 41.1448031)
1549670801,POINT(-8.5222858 41.1450352)
1549670810,POINT(-8.5246187 41.1450056)
1549670873,POINT(-8.5151398 41.1451623)
1549670884,POINT(-8.5206168 41.1452459)
1549670905,POINT(-8.5151904 41.145325)
1549670952,POINT(-8.5232324 41.1453924)
1549670975,POINT(-8.5263379 41.1454243)
1549671008,POINT(-8.5220327 41.1455769)
1549671041,POINT(-8.5153069 41.1456408)
1549671046,POINT(-8.516157 41.1457083)
1549671059,POINT(-8.5320013 41.1457383)
1549671079,POINT(-8.5261875 41.1458332)
1549671110,POINT(-8.524931 41.1459092)
1549671123,POINT(-8.5153134 41.145942)
1549671359,POINT(-8.5156297 41.1465134)
1549671386,POINT(-8.5269761 41.1466671)
1549671421,POINT(-8.5318062 41.1466793)
1549671453,POINT(-8.52383 41.1468088)
1549671528,POINT(-8.5248497 41.1473214)
1549671534,POINT(-8.5307882 41.1472908)
1549671560,POINT(-8.5257285 41.1473617)
1549671585,POINT(-8.5264693 41.147417)
1549671629,POINT(-8.5200565 41.1475716)
1549671659,POINT(-8.5302369 41.1476835)
1549671681,POINT(-8.5271948 41.1476975)
1549671740,POINT(-8.5171706 41.1479986)
1549671898,POINT(-8.5271861 41.1479972)
1549671950,POINT(-8.5202993 41.1481412)
1549671963,POINT(-8.5176959 41.1481482)
1549671984,POINT(-8.5290326 41.1481658)
1549671997,POINT(-8.5215907 41.1482121)
1549672085,POINT(-8.5302426 41.1483316)
1549672096,POINT(-8.5278541 41.148377)
1549672220,POINT(-8.5205441 41.1487628)
1549672252,POINT(-8.5164123 41.1488125)
1549672268,POINT(-8.5268761 41.1488328)
1549672412,POINT(-8.5171876 41.1490781)
1549672422,POINT(-8.5304609 41.1490544)
1549672446,POINT(-8.5290629 41.1491981)
1549672535,POINT(-8.5207591 41.149329)
1549672572,POINT(-8.5169675 41.1494329)
1549672613,POINT(-8.5199291 41.1494908)
1549672793,POINT(-8.5234391 41.1496614)
1549672801,POINT(-8.5299203 41.1496861)
1549672830,POINT(-8.5311543 41.1497355)
1549672837,POINT(-8.5279304 41.149742)
1549672997,POINT(-8.525604 41.1497716)
1549673141,POINT(-8.5177317 41.1499043)
1549673256,POINT(-8.5242644 41.1499846)
1550091382,POINT(-8.5335713 41.1432371)
1550091392,POINT(-8.5379789 41.1433362)
1550091408,POINT(-8.5367901 41.1434492)
1550091461,POINT(-8.534521 41.1435554)
1550091465,POINT(-8.5372868 41.1436092)
1550091469,POINT(-8.5332711 41.1436305)
1550091474,POINT(-8.5360215 41.1437308)
1550091485,POINT(-8.5340468 41.1440358)
1550091494,POINT(-8.5327783 41.1441479)
1550091499,POINT(-8.5359233 41.1441676)
1550091504,POINT(-8.5444891 41.1442404)
1550091526,POINT(-8.543576 41.1446135)
1550091605,POINT(-8.5353524 41.1450294)
1550091620,POINT(-8.5347518 41.1452284)
1550091691,POINT(-8.5344452 41.1462547)
1550091700,POINT(-8.5410867 41.1465348)
1550091701,POINT(-8.5412821 41.1466661)
1550091742,POINT(-8.5395792 41.1485759)
1550091797,POINT(-8.531286 41.1490921)
1550091899,POINT(-8.5334362 41.1498389)
1550091914,POINT(-8.5334802 41.149947)
1550547780,POINT(-8.523537 41.1315695)
1550547796,POINT(-8.5241165 41.1315726)
1550547895,POINT(-8.5242367 41.1316475)
1550547972,POINT(-8.5257459 41.1317421)
1550548031,POINT(-8.5250705 41.1318692)
1550548059,POINT(-8.5239632 41.1318799)
1550548111,POINT(-8.5255589 41.1319816)
1550548171,POINT(-8.5248811 41.1321268)
1550548855,POINT(-8.5254927 41.1339566)
1550548962,POINT(-8.5253283 41.1343165)
1550549155,POINT(-8.5260543 41.1345954)
1550549250,POINT(-8.5296048 41.1346202)
1550549381,POINT(-8.5350421 41.1347118)
1550549523,POINT(-8.5258014 41.1348205)
1550549541,POINT(-8.5356491 41.1348495)
1550549580,POINT(-8.5310016 41.1348926)
1550549677,POINT(-8.5354687 41.1350328)
1550549781,POINT(-8.526822 41.1350876)
1550549868,POINT(-8.5310978 41.1351618)
1550549875,POINT(-8.532327 41.1351632)
1550550500,POINT(-8.5311477 41.1353638)
1550550509,POINT(-8.5354637 41.135367)
1550550689,POINT(-8.5357468 41.1355029)
1550550799,POINT(-8.5350042 41.1356721)
1550551337,POINT(-8.5244728 41.1361313)
1550551364,POINT(-8.5295542 41.1361246)
1550551413,POINT(-8.5326898 41.1361992)
1550551663,POINT(-8.5359315 41.1363008)
1550551868,POINT(-8.5314207 41.136325)
1550551879,POINT(-8.5319781 41.1363289)
1550552170,POINT(-8.5176839 41.1363563)
1550552178,POINT(-8.5334026 41.1363737)
1550552563,POINT(-8.5297642 41.1364086)
1550552581,POINT(-8.5289693 41.1364118)
1550552591,POINT(-8.5306651 41.1364303)
1550552624,POINT(-8.5297259 41.1364348)
1550552955,POINT(-8.5320807 41.1364586)
1550553149,POINT(-8.5299482 41.1364813)
1550553301,POINT(-8.5320584 41.1364954)
1550554061,POINT(-8.5297523 41.1365705)
1550554067,POINT(-8.5361506 41.1365471)
1550554102,POINT(-8.5330194 41.1365581)
1550554338,POINT(-8.529808 41.1365837)
1550554938,POINT(-8.5297684 41.136667)
1550555121,POINT(-8.5324307 41.1367453)
1550555192,POINT(-8.5332444 41.136821)
1550555415,POINT(-8.5381286 41.1369387)
1550555802,POINT(-8.5347101 41.1370817)
1550556102,POINT(-8.5348462 41.1372971)
1550556107,POINT(-8.5268708 41.1373207)
1550556276,POINT(-8.5382199 41.137593)
1550556282,POINT(-8.5297026 41.1376118)
1550556505,POINT(-8.5351042 41.1380169)
1550556511,POINT(-8.5284612 41.1380289)
1550556525,POINT(-8.5278381 41.1380528)
1550556716,POINT(-8.5290325 41.1381505)
1550556808,POINT(-8.5263564 41.138183)
1550556826,POINT(-8.5309122 41.1382009)
1550556929,POINT(-8.5187076 41.1382065)
1550556949,POINT(-8.5289872 41.1382248)
1550557072,POINT(-8.5169901 41.1382402)
1550557132,POINT(-8.5182546 41.1379217)
1550557260,POINT(-8.530665 41.1383224)
1550557376,POINT(-8.5266174 41.1383663)
1550557559,POINT(-8.5267207 41.1384388)
1550557661,POINT(-8.5309624 41.138512)
1550557670,POINT(-8.5206038 41.1385258)
1550557816,POINT(-8.5187791 41.138651)
1550557976,POINT(-8.5170094 41.1387126)
1550558104,POINT(-8.5382616 41.1387679)
1550558227,POINT(-8.5189349 41.1387988)
1550558367,POINT(-8.51828 41.1388241)
1550558381,POINT(-8.5392642 41.1388609)
1550558526,POINT(-8.5317802 41.1389007)
1550559009,POINT(-8.5203912 41.1389578)
1550559292,POINT(-8.5247509 41.1389897)
1550559304,POINT(-8.5206364 41.1389976)
1550559430,POINT(-8.5201142 41.1390111)
1550559630,POINT(-8.5390481 41.1390414)
1550559642,POINT(-8.5183047 41.1390416)
1550559904,POINT(-8.5389758 41.1390943)
1550559910,POINT(-8.5281011 41.1390952)
1550559963,POINT(-8.5191713 41.1391553)
1550560305,POINT(-8.5183156 41.1391531)
1550560337,POINT(-8.5366903 41.1392017)
1550560462,POINT(-8.5167401 41.1392346)
1550560564,POINT(-8.5399526 41.1392665)
1550560592,POINT(-8.5286375 41.1392947)
1550560745,POINT(-8.5174764 41.1393286)
1550560758,POINT(-8.5375687 41.1393464)
1550560865,POINT(-8.5286991 41.1393571)
1550560880,POINT(-8.5361288 41.139383)
1550560946,POINT(-8.5381141 41.139414)
1550561077,POINT(-8.5175349 41.1394503)
1550561131,POINT(-8.5268185 41.1394625)
1550561361,POINT(-8.5376999 41.1395333)
1550561458,POINT(-8.5271822 41.139599)
1550561495,POINT(-8.5356063 41.1396148)
1550561875,POINT(-8.5297554 41.1396364)
1550562207,POINT(-8.5290892 41.139695)
1550562294,POINT(-8.5276474 41.1397735)
1550562423,POINT(-8.5252957 41.1397966)
1550562435,POINT(-8.5400042 41.1398016)
1550562536,POINT(-8.5399774 41.1399092)
1550562687,POINT(-8.5257465 41.1398963)
1550562910,POINT(-8.5235773 41.1399831)
1550563022,POINT(-8.525065 41.1400311)
1550563182,POINT(-8.5264123 41.1401451)
1550563187,POINT(-8.5249726 41.1401651)
1550563605,POINT(-8.5267898 41.1402449)
1550563918,POINT(-8.530622 41.1403101)
1550563933,POINT(-8.5262931 41.1403247)
1550563955,POINT(-8.5377938 41.1403316)
1550564049,POINT(-8.5326678 41.1403427)
1550564186,POINT(-8.5168916 41.1404201)
1550564193,POINT(-8.5253295 41.1404244)
1550564200,POINT(-8.5380524 41.1404465)
1550564261,POINT(-8.5171531 41.1404695)
1550564338,POINT(-8.5299457 41.1404955)
1550564442,POINT(-8.5283911 41.1405291)
1550564597,POINT(-8.5171351 41.1405942)
1550564603,POINT(-8.5239293 41.1405509)
1550564776,POINT(-8.5277719 41.1406489)
1550564793,POINT(-8.5233366 41.1406469)
1550564897,POINT(-8.5298064 41.1407454)
1550564905,POINT(-8.5186821 41.1407537)
1550565041,POINT(-8.5220504 41.1409099)
1550565149,POINT(-8.529517 41.1409601)
1550565277,POINT(-8.5325074 41.1410053)
1550565310,POINT(-8.5299872 41.1410154)
1550565325,POINT(-8.5293574 41.1410345)
1550565335,POINT(-8.5188336 41.1410405)
1550565435,POINT(-8.5321966 41.1411023)
1550565452,POINT(-8.5291138 41.1411319)
1550565628,POINT(-8.5238809 41.1411978)
1550565719,POINT(-8.5317509 41.1411884)
